outfit_id,gender,wear_type,occasion,theme,hero,hero_id,second,second_id,layer,layer_id,footwear,footwear_id,accessory_1,accessory_1_id,accessory_2,accessory_2_id,palette,items_count,total_price_inr,image_files,stylist_rationale
outfit W11,women,western,sports,Athleisure,"Zen Round Neck Tank Top for Women, 4 Way Stretchable (Hunnit)",nykaa_19356700,Ultimate Cotton Flare Leggings with Anti-Slip Waist & Pockets NYAT503 Jet Black (Nykd by Nykaa),nykaa_13632320,,,Women Lace-Up Fastening Sneakers (Forever Glam by Pantaloons),ajio_703187803,,,,,tan / black / cream,3,3433,images/nykaa/19356700.jpg;images/nykaa/13632320.jpg;images/ajio/703187803.jpg,"Blue tank over black flare leggings with cushioned cream sneakers — a clean, move-ready set."
outfit W12,women,western,winter,Grey-coat layers,Open Knit Pullover Sweater (Roadster),myntra_11990814,Women Straight Fit High-Rise Jeans (U.S. Polo Assn. Women),myntra_41163758,Button Closure Long Coat (Cantabil),ajio_702780607,Solid Black Chunky Boots (DressBerry),myntra_41756001,,,,,red / blue / grey / black,4,8032,images/myntra/11990814.jpg;images/myntra/41163758.jpg;images/ajio/702780607.jpg;images/myntra/41756001.jpg,"Rust waffle-knit sweater and light jeans under a grey long coat, finished with black chunky boots — warm, autumnal, well-proportioned."
outfit W13,women,western,casual,Maroon shirt + denim skirt,Formal Shirt (Chemistry),myntra_30308778,Women Solid Bright Blue Bonnet Midi Skirt (KOTTY),nykaa_21742536,,,Women Lace-Up Fastening Sneakers (Forever Glam by Pantaloons),ajio_703187803,Sling Bag with Quilted (Exotic),myntra_24130018,,,maroon / blue / cream / black,4,3401,images/myntra/30308778.jpg;images/nykaa/21742536.jpg;images/ajio/703187803.jpg;images/myntra/24130018.jpg,Maroon utility shirt with a light-denim midi skirt and cream sneakers — relaxed colour-pop casual; black sling staple.
outfit W14,women,western,party,Blush statement maxi,Marquee White Sequin Printed Dress (VERO MODA),nykaa_20942213,,,,,Open Toe Kitten Heel Sandals (Mochi),myntra_31751105,Sparkle Framed Clutch (Lavie),myntra_15660676,,,white / red,3,6023,images/nykaa/20942213.jpg;images/myntra/31751105.jpg;images/myntra/15660676.jpg,Blush printed slip maxi; nude-tan kitten heels (staple) and the blush box clutch keep everything soft and tonal so the print leads.
outfit W15,women,ethnic,festive,Navy kurta suit set,Women Embroidered Straight Kurta Suit Set (SVARAA),ajio_702733799,,,,,Women Malak Brown Solid Juttis (YASSIO),nykaa_24377703,Women Stone-Studded Necklace & Earrings Set (VATSALYA),ajio_700825576,,,navy / brown / pink,3,2447,images/ajio/702733799.jpg;images/nykaa/24377703.jpg;images/ajio/700825576.jpg,Navy straight kurta suit with its own dupatta and gold neckwork; brown juttis and a silver set (staples) keep it understated and festive.
outfit M1,men,western,casual,Navy smart-casual,Slim Fit Casual Shirt (Aldeno),myntra_38692620,Tea Green Men Chinos (The Souled Store),nykaa_24178529,,,Men Slip-On Formal Shoes (REGAL),ajio_702013278,Men Analogue Watch-NU1825SL16 (TITAN),ajio_4935353720,,,navy / green / brown / red,4,8485,images/myntra/38692620.jpg;images/nykaa/24178529.jpg;images/ajio/702013278.jpg;images/ajio/4935353720.jpg,Navy casual shirt with sage chinos and brown bit-loafers — a crisp earthy combo; a green-dial leather watch finishes it.
outfit M2,men,western,vacation,Sage linen summer,Men Regular Fit Linen Shirt (NEONOMAD),ajio_703306501,Mens Navy Blue Pure Cotton Ultra Light Lounge Shorts (DaMENSCH),nykaa_25523123,,,Men Double-Strap Slip-On Sandals (SPYKAR),ajio_700692049,ANIME - Men Baseball Caps (BEWAKOOF),ajio_702546309,,,green / navy / olive,4,3199,images/ajio/703306501.jpg;images/nykaa/25523123.jpg;images/ajio/700692049.jpg;images/ajio/702546309.jpg,Sage linen shirt with navy cotton shorts and olive double-strap sandals; an olive cap pulls the greens together for vacation.
outfit M3,men,western,wedding,Navy tailored suit,Men Regular Fit 2-Piece Suit Set (ARROW),ajio_469618352,Cotton Slim Fit Formal Shirt (Arrow),myntra_28569210,,,Men Formal Lace-Up Shoes with Faux Leather Upper (KOSHER),ajio_700917335,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,grey / white / black / red,4,15296,images/ajio/469618352.jpg;images/myntra/28569210.jpg;images/ajio/700917335.jpg;images/ajio/4934125790.jpg,Navy two-piece over a white shirt with black derby shoes and a steel watch — sharp and ceremony-ready (navy + black is foolproof).
outfit M4,men,western,office,Crisp office formal,Cotton Slim Fit Formal Shirt (Arrow),myntra_28569210,Men Slim Fit Trousers (Raymond),myntra_23237806,,,Men Patterned Low-Top Loafers (U.S. Polo Assn.),ajio_469683825,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,white / red / black,4,11630,images/myntra/28569210.jpg;images/myntra/23237806.jpg;images/ajio/469683825.jpg;images/ajio/4934125790.jpg,White formal shirt (a staple) with light-grey trousers and black driving loafers; steel watch — clean desk-to-meeting formal.
outfit M5,men,western,sports,Athleisure,Men Oversized Fit Crew-Neck Sweatshirt (DNMX),ajio_443087217,Track Pants with Elasticated Drawstrings (Jack & Jones),ajio_464835118,,,Men Softride Carson Fresh Running Shoes (Puma),ajio_469763526,ANIME - Men Baseball Caps (BEWAKOOF),ajio_702546309,,,grey / brown / green / olive,4,3820,images/ajio/443087217.jpg;images/ajio/464835118.jpg;images/ajio/469763526.jpg;images/ajio/702546309.jpg,"Charcoal sweatshirt with maroon track pants and olive running shoes; cap on top — comfortable, tonal and sporty."
outfit M6,men,ethnic,festive,Cream kurta + Nehru,Roman Silk Embroidery Kurta (House of Pataudi),myntra_40399611,,,Cotton Woven Nehru Jacket (Fabindia),myntra_38200553,Men Elevator Casual Heeled Slip-on Traditional Jutti (BXXY),ajio_464207650,Men Analogue Watch-NU1825SL16 (TITAN),ajio_4935353720,,,black / navy / brown / red,4,6164,images/myntra/40399611.jpg;images/myntra/38200553.jpg;images/ajio/464207650.jpg;images/ajio/4935353720.jpg,Cream printed kurta set sharpened with a navy Nehru jacket and brown mojaris — the navy adds structure to the festive cream.
outfit M7,men,ethnic,wedding,Ivory sherwani,Men Texture Solid Indowestern Sherwani Churidar with Dupatta Set (KISAH),ajio_466576129,,,,,Men Elevator Casual Heeled Slip-on Traditional Jutti (BXXY),ajio_464207650,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,beige / brown / red,3,16896,images/ajio/466576129.jpg;images/ajio/464207650.jpg;images/ajio/4934125790.jpg,"Ivory sherwani with a maroon-printed dupatta and brown mojaris (staple) — classic wedding formality, warm neutral palette."
outfit M8,men,western,casual,Lavender polo day,Polo Collar Cotton T-shirt (XYXX),myntra_29132512,Blue Slim Fit Mid Rise Jeans (AD By Arvind),nykaa_21046502,,,Men Softride Carson Fresh Running Shoes (Puma),ajio_469763526,ANIME - Men Baseball Caps (BEWAKOOF),ajio_702546309,,,blue / green / olive,4,4867,images/myntra/29132512.jpg;images/nykaa/21046502.jpg;images/ajio/469763526.jpg;images/ajio/702546309.jpg,Dusty-lavender polo with blue jeans and olive running shoes (staple); cap for an easy weekend look — soft colour against denim.
outfit M9,men,western,casual,Denim-jacket street,Unisex Cotton T-shirt (Rigo),myntra_42184814,Tea Green Men Chinos (The Souled Store),nykaa_24178529,Signature Denim Jacket (Bonkers Corner),nykaa_22006528,Men Ankle-Length Chelsea Boots with Lace Fastening (BUCIK),ajio_701984081,,,,,navy / green / brown,4,4947,images/myntra/42184814.jpg;images/nykaa/24178529.jpg;images/nykaa/22006528.jpg;images/ajio/701984081.jpg,White tee under a black graphic denim jacket with sage chinos (staple) and brown work boots — relaxed streetwear with grounding browns.
outfit M10,men,western,party,Black party shirt,Textured Spread Collar Shirt (Instafab Plus),myntra_36794231,Men Slim Fit Trousers (Raymond),myntra_23237806,,,Men Patterned Low-Top Loafers (U.S. Polo Assn.),ajio_469683825,Men Water-Resistant Analogue Watch-90200SL04 (TITAN),ajio_4934125790,,,black / red,4,11596,images/myntra/36794231.jpg;images/myntra/23237806.jpg;images/ajio/469683825.jpg;images/ajio/4934125790.jpg,Black textured party shirt with grey trousers and black loafers (staples) plus a steel watch — sleek monochrome for evening.
syn_men_casual_0,men,western,casual,casual men,Highlander Men Green Check Shirt,fpi_23196,Lee Men Blue Chicago Fit Jeans,fpi_11340,,,ADIDAS Men Kendall Black Navy Floater,fpi_5608,,,,,green/blue,3,4949,images/fpi/23196.jpg;images/fpi/11340.jpg;images/fpi/5608.jpg,Pairs a green Shirts with blue Jeans and Sandals for a cohesive casual look.
syn_men_casual_1,men,western,casual,casual men,Arrow Sport Men blue Printed T-shirt,fpi_31038,Doodle Kids Boy Striped Blue Shorts,fpi_27215,,,Globalite Men Black Sparta Shoes,fpi_44747,,,,,blue/blue,3,4533,images/fpi/31038.jpg;images/fpi/27215.jpg;images/fpi/44747.jpg,Pairs a blue Tshirts with blue Shorts and Casual Shoes for a cohesive casual look.
syn_men_casual_2,men,western,casual,casual men,Proline Men Yellow T-shirt with Printed Detail,fpi_26284,Peter England Men Blue Party Jeans,fpi_39380,,,Newfeel Unisex Purple White Shoes,fpi_4852,,,,,yellow/white,3,4216,images/fpi/26284.jpg;images/fpi/39380.jpg;images/fpi/4852.jpg,Pairs a yellow Tshirts with white Jeans and Casual Shoes for a cohesive casual look.
syn_men_casual_3,men,western,casual,casual men,United Colors of Benetton Men White Solid T-shirt,fpi_20000,Timberland Men's Cycling Pod Chino Khaki Pant,fpi_7070,,,Vans Men Bedford Charcoal Shoes,fpi_34851,,,,,white/cream,3,4893,images/fpi/20000.jpg;images/fpi/7070.jpg;images/fpi/34851.jpg,Pairs a white Tshirts with cream Track Pants and Casual Shoes for a cohesive casual look.
syn_men_casual_4,men,western,casual,casual men,United Colors of Benetton Men Check Blue Shirt,fpi_19185,Proline Men Charcoal Grey Track Pants,fpi_34203,,,GAS Men Black Pine Flip Flops,fpi_17029,,,,,blue/charcoal,3,4889,images/fpi/19185.jpg;images/fpi/34203.jpg;images/fpi/17029.jpg,Pairs a blue Shirts with charcoal Track Pants and Flip Flops for a cohesive casual look.
syn_men_casual_5,men,western,casual,casual men,Levis Men Printed Olive Sweatshirts,fpi_16444,Manchester United Men Navy Blue Shorts,fpi_22814,,,Numero Uno Men Brown Casual Shoes,fpi_24463,,,,,olive/navy blue,3,4688,images/fpi/16444.jpg;images/fpi/22814.jpg;images/fpi/24463.jpg,Pairs a olive Sweatshirts with navy blue Shorts and Casual Shoes for a cohesive casual look.
syn_men_casual_6,men,western,casual,casual men,Levis Men Printed Black Sweatshirts,fpi_16443,Spykar Men Style Essentials Spykar Basic Attire Series 0428 Blue Jeans,fpi_9187,,,Vans Unisex White Classic Slip On Casual Shoes,fpi_42271,,,,,black/blue,3,5142,images/fpi/16443.jpg;images/fpi/9187.jpg;images/fpi/42271.jpg,Pairs a black Sweatshirts with blue Jeans and Casual Shoes for a cohesive casual look.
syn_men_casual_7,men,western,casual,casual men,U.S. Polo Assn. Men Solid Green Tshirt,fpi_19800,Lee Men Blue Chicago Fit Jeans,fpi_11340,,,Warner Bros Kids Unisex TJ Playlogs Brown Sandals,fpi_15868,,,,,green/blue,3,4782,images/fpi/19800.jpg;images/fpi/11340.jpg;images/fpi/15868.jpg,Pairs a green Tshirts with blue Jeans and Sandals for a cohesive casual look.
syn_men_casual_8,men,western,casual,casual men,Doodle Boys Yellow Printed T-Shirt,fpi_50713,Lee Men Blue Zed Fit Jeans,fpi_11346,,,Warner Bros Kids White sandals,fpi_40313,,,,,yellow/blue,3,4437,images/fpi/50713.jpg;images/fpi/11346.jpg;images/fpi/40313.jpg,Pairs a yellow Tshirts with blue Jeans and Sandals for a cohesive casual look.
syn_men_casual_9,men,western,casual,casual men,Gini and Jony Boys Printed Yellow T-shirt,fpi_34172,Nike Men Classic Jersey Black Track Pants,fpi_30604,,,Skechers Men Black Lifestyle Casual Shoes,fpi_3557,,,,,yellow/black,3,5139,images/fpi/34172.jpg;images/fpi/30604.jpg;images/fpi/3557.jpg,Pairs a yellow Tshirts with black Track Pants and Casual Shoes for a cohesive casual look.
syn_men_casual_10,men,western,casual,casual men,Tantra Unisex Printed White Tshirts,fpi_12597,Gini and Jony Boys Black Jeans,fpi_33283,,,U.S. Polo Assn. Men Green Flip Flops,fpi_53876,,,,,white/black,3,5171,images/fpi/12597.jpg;images/fpi/33283.jpg;images/fpi/53876.jpg,Pairs a white Tshirts with black Jeans and Flip Flops for a cohesive casual look.
syn_men_casual_11,men,western,casual,casual men,Tantra Kid's Unisex Kya Boss Red Kidswear,fpi_4317,Superman Men Navy Blue Printed Shorts,fpi_41695,,,Puma Men Standpunkt Brown Casual Shoes,fpi_19329,,,,,red/navy blue,3,4572,images/fpi/4317.jpg;images/fpi/41695.jpg;images/fpi/19329.jpg,Pairs a red Tshirts with navy blue Shorts and Casual Shoes for a cohesive casual look.
syn_men_casual_12,men,western,casual,casual men,Basics Men Purple Shirt,fpi_29831,ADIDAS Men Black 3/4 Length Pants,fpi_32427,,,Disney Unisex Kids Pluto Green Flip Flops,fpi_10740,,,,,purple/black,3,4359,images/fpi/29831.jpg;images/fpi/32427.jpg;images/fpi/10740.jpg,Pairs a purple Shirts with black Shorts and Flip Flops for a cohesive casual look.
syn_men_casual_13,men,western,casual,casual men,Highlander Men Red Striped Shirt,fpi_23198,Locomotive Men Washed Blue Jeans,fpi_16506,,,Warner Bros Kids Unisex LT Blug Clog Green Sandals,fpi_15858,,,,,red/blue,3,4531,images/fpi/23198.jpg;images/fpi/16506.jpg;images/fpi/15858.jpg,Pairs a red Shirts with blue Jeans and Sandals for a cohesive casual look.
syn_men_casual_14,men,western,casual,casual men,Tantra Kid's Unisex Good Morning Orange Kidswear,fpi_4320,Spykar Men Style Essentials Spykar Jeans Rns Blue Jeans,fpi_9189,,,Vans Unisex Wine Authentic Shoes,fpi_49460,,,,,orange/blue,3,4477,images/fpi/4320.jpg;images/fpi/9189.jpg;images/fpi/49460.jpg,Pairs a orange Tshirts with blue Jeans and Casual Shoes for a cohesive casual look.
syn_men_office_0,men,western,office,office men,John Miller Men Check Purple Shirt,fpi_29721,John Miller Men Black Trousers,fpi_26136,,,Red Tape Men Black Shoes,fpi_6503,,,,,purple/black,3,6072,images/fpi/29721.jpg;images/fpi/26136.jpg;images/fpi/6503.jpg,Pairs a purple Shirts with black Trousers and Formal Shoes for a cohesive office look.
syn_men_office_1,men,western,office,office men,Arrow Men Black & White Suspenders,fpi_25782,Basics Men Dark Brown Trousers,fpi_29852,,,Buckaroo Men New Pampa Black Formal Shoe,fpi_17760,,,,,black/brown,3,6312,images/fpi/25782.jpg;images/fpi/29852.jpg;images/fpi/17760.jpg,Pairs a black Suspenders with brown Trousers and Formal Shoes for a cohesive office look.
syn_men_office_2,men,western,office,office men,Mark Taylor Men Blue & White Striped Shirt,fpi_17562,John Miller Men Black Trousers,fpi_26138,,,Provogue Men Formal Black Formal Shoes,fpi_12879,,,,,blue/black,3,6366,images/fpi/17562.jpg;images/fpi/26138.jpg;images/fpi/12879.jpg,Pairs a blue Shirts with black Trousers and Formal Shoes for a cohesive office look.
syn_men_office_3,men,western,office,office men,Mark Taylor Men Aqua Blue & White Grey Striped Shirt,fpi_14526,Arrow Men Navy Blue Trousers,fpi_23042,,,Enroute Men Leather Brown Formal Shoes,fpi_16152,,,,,blue/navy blue,3,6254,images/fpi/14526.jpg;images/fpi/23042.jpg;images/fpi/16152.jpg,Pairs a blue Shirts with navy blue Trousers and Formal Shoes for a cohesive office look.
syn_men_office_4,men,western,office,office men,Arrow New York Men Grey Check Slim Fit Shirt,fpi_38973,Peter England Men Khaki Trousers,fpi_39808,,,Red Tape Men's Brown Formal Shoe,fpi_5316,,,,,grey/khaki,3,5888,images/fpi/38973.jpg;images/fpi/39808.jpg;images/fpi/5316.jpg,Pairs a grey Shirts with khaki Trousers and Formal Shoes for a cohesive office look.
syn_men_office_5,men,western,office,office men,John Players Men Blue Striped Shirt,fpi_37793,Indian Terrain Men Sid Black Trousers,fpi_9894,,,Buckaroo Men Flores Black Formal Shoes,fpi_9036,,,,,blue/black,3,6375,images/fpi/37793.jpg;images/fpi/9894.jpg;images/fpi/9036.jpg,Pairs a blue Shirts with black Trousers and Formal Shoes for a cohesive office look.
syn_men_office_6,men,western,office,office men,Arrow Men Black & White Suspenders,fpi_25782,John Miller Men Black Trousers,fpi_26138,,,Franco Leone Men Brown Formal Shoe,fpi_15065,,,,,black/black,3,6233,images/fpi/25782.jpg;images/fpi/26138.jpg;images/fpi/15065.jpg,Pairs a black Suspenders with black Trousers and Formal Shoes for a cohesive office look.
syn_men_office_7,men,western,office,office men,Arrow Men Check Purple Shirts,fpi_14783,Peter England Men Khaki Trousers,fpi_39808,,,Rockport Men's Evander Brown Shoe,fpi_7216,,,,,purple/khaki,3,6418,images/fpi/14783.jpg;images/fpi/39808.jpg;images/fpi/7216.jpg,Pairs a purple Shirts with khaki Trousers and Formal Shoes for a cohesive office look.
syn_men_office_8,men,western,office,office men,Mark Taylor Men Grey Striped Shirt,fpi_12028,Indigo Nation Men ID Printed Grey Trousers,fpi_8949,,,Arrow Men Formal Black Shoes,fpi_23249,,,,,grey/grey,3,6406,images/fpi/12028.jpg;images/fpi/8949.jpg;images/fpi/23249.jpg,Pairs a grey Shirts with grey Trousers and Formal Shoes for a cohesive office look.
syn_men_office_9,men,western,office,office men,Genesis Men Stripes Blue Shirts,fpi_12271,John Miller Men Line Grey Trousers,fpi_10260,,,Red Tape Men's Formal Leather Black Shoe,fpi_8063,,,,,blue/grey,3,5896,images/fpi/12271.jpg;images/fpi/10260.jpg;images/fpi/8063.jpg,Pairs a blue Shirts with grey Trousers and Formal Shoes for a cohesive office look.
syn_men_office_10,men,western,office,office men,Mark Taylor Men White Green Striped Shirts,fpi_12019,Indigo Nation Men Black self structure Black Trousers,fpi_11267,,,Provogue Men Formal Black Formal Shoes,fpi_12879,,,,,white/black,3,5683,images/fpi/12019.jpg;images/fpi/11267.jpg;images/fpi/12879.jpg,Pairs a white Shirts with black Trousers and Formal Shoes for a cohesive office look.
syn_men_office_11,men,western,office,office men,John Players Men Blue Striped Shirt,fpi_37793,Indigo Nation Men Cream Trouser Cream Trousers,fpi_11268,,,Rockport Men's Alfrew Brown Shoe,fpi_7243,,,,,blue/cream,3,6170,images/fpi/37793.jpg;images/fpi/11268.jpg;images/fpi/7243.jpg,Pairs a blue Shirts with cream Trousers and Formal Shoes for a cohesive office look.
syn_men_office_12,men,western,office,office men,Mark Taylor Men Yellow & Blue Striped Shirt,fpi_17537,Basics Men Dark Brown Trousers,fpi_29852,,,Arrow Men Black Formal Shoes,fpi_59435,,,,,yellow/brown,3,6597,images/fpi/17537.jpg;images/fpi/29852.jpg;images/fpi/59435.jpg,Pairs a yellow Shirts with brown Trousers and Formal Shoes for a cohesive office look.
syn_men_office_13,men,western,office,office men,Indigo Nation Men cotton White Shirts,fpi_9589,John Miller Men Line Grey Trousers,fpi_10260,,,Arrow Men Black Formal Shoes,fpi_46795,,,,,white/grey,3,5674,images/fpi/9589.jpg;images/fpi/10260.jpg;images/fpi/46795.jpg,Pairs a white Shirts with grey Trousers and Formal Shoes for a cohesive office look.
syn_men_office_14,men,western,office,office men,Peter England Men Stripes Purple Shirt,fpi_16360,Van Heusen Men Classic Pleated Black Trousers,fpi_33815,,,Red Chief Men Black Formal Shoes,fpi_50725,,,,,purple/black,3,6105,images/fpi/16360.jpg;images/fpi/33815.jpg;images/fpi/50725.jpg,Pairs a purple Shirts with black Trousers and Formal Shoes for a cohesive office look.
syn_men_party_0,men,western,party,party men,U.S. Polo Assn. Men Stripes Green Sweater,fpi_17197,Gini and Jony Kids Unisex Blue Jeans,fpi_33279,,,Lotto Men Maroon Juve Flip Flop,fpi_44714,,,,,green/blue,3,4222,images/fpi/17197.jpg;images/fpi/33279.jpg;images/fpi/44714.jpg,Pairs a green Sweaters with blue Jeans and Flip Flops for a cohesive party look.
syn_men_party_1,men,western,party,party men,Rolling Stone Men's The Rolling Stones Navy T-shirt,fpi_5178,Chromozome Men Navy Blue Lounge Shorts,fpi_50656,,,Converse Unisex Tongue Triple Color Black Casual Shoes,fpi_23793,,,,,navy blue/navy blue,3,3769,images/fpi/5178.jpg;images/fpi/50656.jpg;images/fpi/23793.jpg,Pairs a navy blue Tshirts with navy blue Lounge Shorts and Casual Shoes for a cohesive party look.
syn_men_party_2,men,western,party,party men,Locomotive Men Printed Black T-shirt,fpi_21408,Locomotive Men Washed Blue Jeans,fpi_16508,,,Converse Unisex Ct AsAll Star 08 Hi Green Casual Shoes,fpi_9097,,,,,black/blue,3,4598,images/fpi/21408.jpg;images/fpi/16508.jpg;images/fpi/9097.jpg,Pairs a black Tshirts with blue Jeans and Casual Shoes for a cohesive party look.
syn_men_party_3,men,western,party,party men,U.S. Polo Assn. Men Stripes Green Sweater,fpi_17197,Proline Men Grey Track Pants,fpi_7889,,,Converse Men's Chuck Taylor Big Check Red Black Canvas Shoe,fpi_3595,,,,,green/grey,3,4444,images/fpi/17197.jpg;images/fpi/7889.jpg;images/fpi/3595.jpg,Pairs a green Sweaters with grey Track Pants and Casual Shoes for a cohesive party look.
syn_men_party_4,men,western,party,party men,Arrow Men Stripes Blue Shirts,fpi_14740,Gini and Jony Boys Jeans Blue Jeans,fpi_40923,,,Puma Unisex Lo Punk White Green Red Shoe,fpi_4123,,,,,blue/blue,3,5186,images/fpi/14740.jpg;images/fpi/40923.jpg;images/fpi/4123.jpg,Pairs a blue Shirts with blue Jeans and Casual Shoes for a cohesive party look.
syn_men_party_5,men,western,party,party men,John Miller Men Striped White Shirt,fpi_26101,Nike Men Charcoal Grey Shorts,fpi_43044,,,Puma Men's Vesta Runner Black White Shoe,fpi_3226,,,,,white/charcoal,3,5314,images/fpi/26101.jpg;images/fpi/43044.jpg;images/fpi/3226.jpg,Pairs a white Shirts with charcoal Shorts and Sports Shoes for a cohesive party look.
