id,name,brand,price_inr,rating,rating_count,gender,wear_type,category,category_label,slot,occasion,tags,description,description_source,image,image_url,site,product_url,collected_at,base_colour,season,usage
ajio_703187803,Women Lace-Up Fastening Sneakers,Forever Glam by Pantaloons,1049,5.0,,women,footwear,sneakers,Sneakers,,casual,women;footwear;sneakers;casual;Forever Glam by Pantaloons,Cream pair of sneakers for women from Forever Glam by Pantaloons. Easy to dress down for everyday casual wear.,metadata,images/ajio/703187803.jpg,,ajio,https://www.ajio.com/forever-glam-by-pantaloons-women-lace-up-fastening-sneakers/p/703187803_cream,2026-06-12T16:30:17.507070+00:00,,,
ajio_703351510,Women Fusion Embellished Juttis,DFR,2699,,,women,footwear,ethnic-footwear,Ethnic Footwear,,festive,women;footwear;ethnic-footwear;festive;DFR,Cream pair of ethnic footwear for women from DFR. It features embellishments. Suited to festive and celebratory occasions.,metadata,images/ajio/703351510.jpg,,ajio,https://www.ajio.com/dfr-women-fusion-embellished-juttis-/p/703351510_cream,2026-06-12T16:38:25.647254+00:00,,,
ajio_700825576,Women Stone-Studded Necklace & Earrings Set,VATSALYA,305,3.3,,women,accessory,necklaces,Necklaces,,wedding,women;accessory;necklaces;wedding;VATSALYA,Pink necklace for women from VATSALYA. Made for weddings and festive celebrations.,metadata,images/ajio/700825576.jpg,,ajio,https://www.ajio.com/vatsalya-women-stone-studded-necklace--earrings-set/p/700825576_pink,2026-06-12T16:44:31.394006+00:00,,,
myntra_38692620,Slim Fit Casual Shirt,Aldeno,759,4.5,6.0,men,western,casual-shirts,Casual Shirts,,casual,men;western;casual-shirts;casual;Aldeno,"Navy blue solid opaque Casual shirt ,has a cutaway collar, button placket, na pocket, long roll-up sleeves, curved hem",site,images/myntra/38692620.jpg,,myntra,https://www.myntra.com/shirts/aldeno/aldeno-men-standard-slim-fit-casual-shirt/38692620/buy,2026-06-12T15:02:24.851025+00:00,,,
myntra_36794231,Textured Spread Collar Shirt,Instafab Plus,1065,4.5,10.0,men,western,party-shirts,Party Shirts,,party,men;western;party-shirts;party;Instafab Plus,"Black and white textured opaque party shirt ,has a spread collar, button placket, long regular sleeves, curved hem",site,images/myntra/36794231.jpg,,myntra,https://www.myntra.com/shirts/instafab+plus/instafab-plus-comfort-relaxed-fit-textured-spread-collar-shirt/36794231/buy,2026-06-12T15:12:08.927602+00:00,,,
myntra_42184814,Unisex Cotton T-shirt,Rigo,599,,,men,western,tshirts,Tshirts,,casual,men;western;tshirts;casual;Rigo,"Navy Blue Tshirt for Unisex | Solid | Regular length | Round Neck | Three-quarter, Regular Sleeves | Knitted Cotton fabric",site,images/myntra/42184814.jpg,,myntra,https://www.myntra.com/tshirts/rigo/rigo-unisex-navy-blue-solid-round-neck-regular-fit-cotton-t-shirt/42184814/buy,2026-06-12T15:21:03.582842+00:00,,,
myntra_29132512,Polo Collar Cotton T-shirt,XYXX,599,4.1,6.0,men,western,polo-tshirts,Polo Tshirts,,casual,men;western;polo-tshirts;casual;XYXX,"With Nova, the traditional Polo makes a stylish comeback. We took the breathable and utterly smooth 100% super combed fabric that has a natural, luxe feel to create our t-shirts. We also went ahead and added ribbed cuffs for a snug fit. The cotton pique fabric adds an element of textural play, while the ribbed collar coupled with the two-button placket gives a smart sign-off to this classic silhouette. Shaped to a regular fit, these tagless designs are ideal for an effortless day-to-night look. | Key Features :- | Ultra-soft - Our Nova collection is made from super combed cotton that's breathable and utterly smooth at the same time. It feels super-soft and gentle against the skin. | Ultra-breathable - The super combed cotton fabric is moisture absorbing for a breathable feel all day. | IntelliEaze - It's enhanced with IntelliEaze technology for the most luxurious comfort that guarantees unmatched lightness, softness and breathability. | Classic silhouette -The cotton pique fabric adds an element of textural play, while the ribbed collar coupled with the two-button placket gives a smart sign-off to this classic silhouette. | Day to night - With Nova, the traditional polo makes a stylish comeback making it ideal for an effortless day to night look.",site,images/myntra/29132512.jpg,,myntra,https://www.myntra.com/tshirts/xyxx/xyxx-polo-collar-pure-cotton-t-shirt/29132512/buy,2026-06-12T15:28:20.641156+00:00,,,
myntra_23237806,Men Slim Fit Trousers,Raymond,1224,4.3,949.0,men,western,trousers,Trousers,,office,men;western;trousers;office;Raymond,"Grey woven formal trousers | Slim fit | Mid-rise | Length: regular | Pattern: textured self design | Flat-front, with no pleats design | Feature: plain | 4 pockets",site,images/myntra/23237806.jpg,,myntra,https://www.myntra.com/trousers/raymond/raymond-men-textured-slim-fit-formal-trousers/23237806/buy,2026-06-12T15:50:24.787914+00:00,,,
nykaa_21046502,Blue Slim Fit Mid Rise Jeans,AD By Arvind,1350,,,men,western,jeans,Jeans,,casual,men;western;jeans;casual;AD By Arvind,Buy AD By Arvind Blue Slim Fit Mid Rise Jeans (38) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/21046502.jpg,,nykaa,https://www.nykaafashion.com/ad-by-arvind-blue-slim-fit-mid-rise-jeans/p/21046502,2026-06-12T15:21:37.170686+00:00,,,
nykaa_24178529,Tea Green Men Chinos,The Souled Store,1500,,,men,western,chinos,Chinos,,casual,men;western;chinos;casual;The Souled Store,Buy The Souled Store Tea Green Men Chinos (28) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/24178529.jpg,,nykaa,https://www.nykaafashion.com/the-souled-store-tea-green-men-chinos/p/24178529,2026-06-12T15:32:54.428854+00:00,,,
nykaa_25523123,Mens Navy Blue Pure Cotton Ultra Light Lounge Shorts,DaMENSCH,756,,,men,western,shorts,Shorts,,casual,men;western;shorts;casual;DaMENSCH,Buy DaMENSCH Mens Navy Blue Pure Cotton Ultra Light Lounge Shorts (S) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/25523123.jpg,,nykaa,https://www.nykaafashion.com/damensch-mens-navy-blue-pure-cotton-ultra-light-lounge-shorts/p/25523123,2026-06-12T16:05:04.542891+00:00,,,
nykaa_21896203,Women Navy Blue Print Long Sleeves Formal Shirt,Van Heusen,1225,,,women,western,formal-shirts,Formal Shirts,,office,women;western;formal-shirts;office;Van Heusen,Buy Van Heusen Women Navy Blue Print Long Sleeves Formal Shirt (XS) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/21896203.jpg,,nykaa,https://www.nykaafashion.com/van-heusen-women-navy-blue-print-long-sleeves-formal-shirt/p/21896203,2026-06-12T16:41:17.758710+00:00,,,
nykaa_20942213,Marquee White Sequin Printed Dress,VERO MODA,4550,,,women,western,casual-dresses,Casual Dresses,,casual,women;western;casual-dresses;casual;VERO MODA,Buy VERO MODA Marquee White Sequin Printed Dress (XS) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/20942213.jpg,,nykaa,https://www.nykaafashion.com/vero-moda-marquee-white-sequin-printed-dress/p/20942213,2026-06-12T16:44:59.261480+00:00,,,
myntra_40399611,Roman Silk Embroidery Kurta,House of Pataudi,1329,,,men,ethnic,kurta-sets,Kurta Sets,,festive,men;ethnic;kurta-sets;festive;House of Pataudi,This kurta set consists of Kurta and pyjamas with Dupatta | kurta Design | off white and black kurta | embroidered | mandarin collar | long sleeves regular sleeves | straight shaped | knee length with straight hem with side slits | machine weave regular art silk | pyjamas Design: | off white solid pyjamas | waistband | drawstring closure | Dupatta Design: | off white Dupatta,site,images/myntra/40399611.jpg,,myntra,https://www.myntra.com/kurta-sets/house+of+pataudi/house-of-pataudi-s-off-white-roman-silk-embroidered-kurta-pyjama-kurta-sets/40399611/buy,2026-06-12T17:22:58.404017+00:00,,,
myntra_38200553,Cotton Woven Nehru Jacket,Fabindia,1199,4.4,424.0,men,ethnic,nehru-jackets,Nehru Jackets,,festive,men;ethnic;nehru-jackets;festive;Fabindia,"Navy blue solid woven Nehru jacket, has a mandarin collar, a full button placket, sleeveless, three pockets",site,images/myntra/38200553.jpg,,myntra,https://www.myntra.com/nehru-jackets/fabindia/fabindia-cotton-woven-nehru-jacket/38200553/buy,2026-06-12T17:45:27.996256+00:00,,,
myntra_34682942,Ruched Asymmetrical Midi Dress,MANGO,2397,4.4,87.0,women,western,party-dresses,Party Dresses,,party,women;western;party-dresses;party;MANGO,Burgundy solid dress | One shoulder | Sleeveless | Gathered and pleated detail | Ruched detail | Midi in length with asymmetric hem | Concealed zip closure,site,images/myntra/34682942.jpg,,myntra,https://www.myntra.com/dresses/mango/mango-shoulder-straps-ruched-asymmetrical-midi-dress/34682942/buy,2026-06-12T18:43:30.293222+00:00,,,
myntra_41163758,Women Straight Fit High-Rise Jeans,U.S. Polo Assn. Women,1826,4.1,10.0,women,western,jeans,Jeans,,casual,women;western;jeans;casual;U.S. Polo Assn. Women,"Medium shade, Light Fade Blue jeans | Straight Fit, High-Rise | Clean Look | Stretchable | 5 pocket | Length: Regular",site,images/myntra/41163758.jpg,,myntra,https://www.myntra.com/jeans/u.s.+polo+assn.+women/us-polo-assn-women-women-straight-fit-high-rise-light-fade-stretchable-jeans/41163758/buy,2026-06-12T19:01:38.088774+00:00,,,
nykaa_19331662,Women Olive Green High Rise Formal Trousers,Powersutra,1920,,,women,western,trousers,Trousers,,office,women;western;trousers;office;Powersutra,Buy Powersutra Women Olive Green High Rise Formal Trousers online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/19331662.jpg,,nykaa,https://www.nykaafashion.com/powersutra-women-s-high-waist-pleated-loose-fit-straight-trouser/p/19331662,2026-06-12T17:01:27.737336+00:00,,,
nykaa_21742536,Women Solid Bright Blue Bonnet Midi Skirt,KOTTY,800,,,women,western,skirts,Skirts,,casual,women;western;skirts;casual;KOTTY,Buy KOTTY Women Solid Bright Blue Bonnet Midi Skirt (L) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/21742536.jpg,,nykaa,https://www.nykaafashion.com/kotty-women-solid-bright-blue-bonnet-midi-skirt/p/21742536,2026-06-12T17:09:30.656445+00:00,,,
nykaa_19356700,"Zen Round Neck Tank Top for Women, 4 Way Stretchable",Hunnit,1155,5.0,5.0,women,western,activewear,Activewear,,sports,women;western;activewear;sports;Hunnit,"Buy Hunnit Zen Round Neck Tank Top for Women, 4 Way Stretchable (XS) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.",site,images/nykaa/19356700.jpg,,nykaa,https://www.nykaafashion.com/hunnit-zen-round-neck-tank-top-for-women-4-way-stretchable/p/19356700,2026-06-12T17:56:07.237330+00:00,,,
nykaa_22006528,Signature Denim Jacket,Bonkers Corner,2253,,,men,western,denim-jackets,Denim Jackets,,casual,men;western;denim-jackets;casual;Bonkers Corner,Buy Bonkers Corner Signature Denim Jacket (XS) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/22006528.jpg,,nykaa,https://www.nykaafashion.com/bonkers-corner-signature-denim-jacket/p/22006528,2026-06-12T19:03:50.632934+00:00,,,
myntra_11990814,Open Knit Pullover Sweater,Roadster,742,4.4,4.0,women,western,sweaters,Sweaters,,winter,women;western;sweaters;winter;Roadster,"Rust red open knit pullover sweater, has a mock collar, long sleeves, half zipper closure, and ribbed hem",site,images/myntra/11990814.jpg,,myntra,https://www.myntra.com/sweaters/roadster/roadster-women-rust-red-open-knit-pullover-sweater/11990814/buy,2026-06-12T19:35:28.975054+00:00,,,
myntra_39522716,Floral Print Peplum Top,Anouk Mirage,402,3.8,32.0,women,western,tops,Tops,,casual,women;western;tops;casual;Anouk Mirage,"Off White Regular Peplum tops | Floral Print | Square Neck, three-quarter, Regular Sleeves sleeves | Lace-up detail | Knitted Cotton | Tie-ups closure",site,images/myntra/39522716.jpg,,myntra,https://www.myntra.com/tops/anouk+mirage/anouk-mirage-floral-print-cotton-peplum-top/39522716/buy,2026-06-13T04:35:33.305906+00:00,,,
myntra_30308778,Formal Shirt,Chemistry,703,4.3,86.0,women,western,formal-shirts,Formal Shirts,,office,women;western;formal-shirts;office;Chemistry,"Maroon solid opaque Formal shirt ,has a spread collar, button placket, 2 patch pocket, long roll-up sleeves, curved hem",site,images/myntra/30308778.jpg,,myntra,https://www.myntra.com/shirts/chemistry/chemistry-pure-cotton-formal-shirt/30308778/buy,2026-06-13T05:39:34.200911+00:00,,,
myntra_41733768,Bodycon Midi Dress,MULVARI,590,4.4,7.0,women,western,party-dresses,Party Dresses,,party,women;western;party-dresses;party;MULVARI,"Maroon and Maroon Solid Bodycon dresses | Square Neck | Sleeveless, No Sleeves | Midi length in Straight hem",site,images/myntra/41733768.jpg,,myntra,https://www.myntra.com/dresses/mulvari/mulvari-bodycon-midi-dress/41733768/buy,2026-06-13T06:50:00.233785+00:00,,,
myntra_31751105,Open Toe Kitten Heel Sandals,Mochi,824,4.4,664.0,women,footwear,heels,Heels,,party,women;footwear;heels;party;Mochi,"A pair of brown sandals ,has regular ankle and lace-ups | Synthetic colourblocked upper with western - embellished | Cushioned footbed | Textured and patterned outsole, has a kitten | Warranty: 1 month | Warranty provided by brand owner/manufacturer",site,images/myntra/31751105.jpg,,myntra,https://www.myntra.com/heels/mochi/mochi-women-colourblocked-open-toe-kitten-heel-sandals/31751105/buy,2026-06-13T04:45:15.062095+00:00,,,
myntra_26814366,Bow Detail Kitten Heel Pumps,Carlton London,1249,4.1,335.0,women,footwear,heels,Heels,,party,women;footwear;heels;party;Carlton London,"A pair of white textured bow detail kitten heel pumps,has regular ankle and closed back | Synthetic upper | Cushioned footbed | Textured and patterned outsole | Warranty: 15 days | Warranty provided by brand/manufacturer",site,images/myntra/26814366.jpg,,myntra,https://www.myntra.com/heels/carlton+london/carlton-london-textured-bow-detail-kitten-heel-pumps/26814366/buy,2026-06-13T05:02:42.226336+00:00,,,
myntra_32069236,Women Stiletto Pumps,Shoetopia,624,4.5,1.0,women,footwear,heels,Heels,,party,women;footwear;heels;party;Shoetopia,"A pair of white pumps ,has regular ankle and closed back | Synthetic solid upper with western - embellished | Cushioned footbed | Textured and patterend outsole, has a stiletto",site,images/myntra/32069236.jpg,,myntra,https://www.myntra.com/heels/shoetopia/shoetopia-women-pointed-toe-stiletto-pumps/32069236/buy,2026-06-13T05:10:20.298766+00:00,,,
myntra_42540276,Classic Women's Heels,Lavie,899,,,women,footwear,heels,Heels,,party,women;footwear;heels;party;Lavie,"A pair of Gold-Toned and Gold-Toned Pumps ,has Regular ankle and Backstrap | Synthetic Solid upper with Western - Embellished | Cushioned footbed | Textured and patterend outsole, has a Kitten",site,images/myntra/42540276.jpg,,myntra,https://www.myntra.com/heels/lavie/lavie-party-kitten-pumps/42540276/buy,2026-06-13T05:18:22.875586+00:00,,,
myntra_41756001,Solid Black Chunky Boots,DressBerry,1464,5.0,5.0,women,footwear,boots,Boots,,winter,women;footwear;boots;winter;DressBerry,"A pair of Black winter boots, has high-top ankle and zip fastening and back detail | synthetic Solid upper material | Cushioned footbed | Textured and patterned rubber outsole, has a block | Warranty: Warranty provided by brand/manufacturer",site,images/myntra/41756001.jpg,,myntra,https://www.myntra.com/boots/dressberry/dressberry-women-round-toe-zip-winter-boots/41756001/buy,2026-06-13T07:40:35.871737+00:00,,,
myntra_38487469,Party Block Pumps with Buckles,CHINRAAG,768,4.1,126.0,women,footwear,ethnic-footwear,Ethnic Footwear,,festive,women;footwear;ethnic-footwear;festive;CHINRAAG,"A pair of maroon and maroon pumps ,has regular ankle and backstrap | Synthetic solid upper with buckles | Cushioned footbed | Textured and patterend outsole, has a block | Warranty: 1 month",site,images/myntra/38487469.jpg,,myntra,https://www.myntra.com/heels/chinraag/chinraag-party-block-pumps-with-buckles/38487469/buy,2026-06-13T07:59:39.474625+00:00,,,
ajio_701467182,Women Floral Print Maxi Fit & Flare Dress,LEIA,775,1.0,,women,western,maxi-dresses,Maxi Dresses,,vacation,women;western;maxi-dresses;vacation;LEIA,Navy maxi dress for women from LEIA. It features a floral print. A versatile addition to the wardrobe.,metadata,images/ajio/701467182.jpg,,ajio,https://www.ajio.com/leia-women-floral-print-maxi-fit--flare-dress/p/701467182_navy,2026-06-13T05:43:49.831894+00:00,,,
ajio_703543037,Women 2-Piece Co-Ord Set,Lulu & Sky,3104,,,women,western,co-ord-sets,Co Ord Sets,,party,women;western;co-ord-sets;party;Lulu & Sky,Brown co ord set for women from Lulu & Sky. A standout choice for parties and evenings out.,metadata,images/ajio/703543037.jpg,,ajio,https://www.ajio.com/lulu--sky-women-2-piece-co-ord-set/p/703543037_brown,2026-06-13T07:16:13.380255+00:00,,,
ajio_702390240,Women Slip-On Flat Sandals,JM LOOKS,538,3.4,,women,footwear,flats,Flats,,casual,women;footwear;flats;casual;JM LOOKS,Brown pair of flats for women from JM LOOKS. Easy to dress down for everyday casual wear.,metadata,images/ajio/702390240.jpg,,ajio,https://www.ajio.com/jm-looks-women-slip-on-flat-sandals/p/702390240_brown,2026-06-13T05:08:44.801380+00:00,,,
ajio_701677398,Women Embellished Clutch with Lock,Rubans,563,,,women,accessory,clutches,Clutches,,party,women;accessory;clutches;party;Rubans,White clutch for women from Rubans. It features embellishments. A standout choice for parties and evenings out.,metadata,images/ajio/701677398.jpg,,ajio,https://www.ajio.com/rubans-women-embellished-clutch-with-lock/p/701677398_white,2026-06-13T05:54:27.252495+00:00,,,
nykaa_13632320,Ultimate Cotton Flare Leggings with Anti-Slip Waist & Pockets NYAT503 Jet Black,Nykd by Nykaa,1229,4.1,127.0,women,western,leggings,Leggings,,sports,women;western;leggings;sports;Nykd by Nykaa,Buy Ultimate Cotton Flare Leggings with Anti-Slip Waist & Pockets NYAT503 Jet Black online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/13632320.jpg,,nykaa,https://www.nykaafashion.com/nykd-by-nykaa-iconic-cotton-flare-leggings-with-pockets-nyat503-jet-black/p/13632320,2026-06-13T07:52:00.149334+00:00,,,
ajio_702733799,Women Embroidered Straight Kurta Suit Set,SVARAA,942,,,women,ethnic,kurta-sets,Kurta Sets,,festive,women;ethnic;kurta-sets;festive;SVARAA,Navy kurta set for women from SVARAA. It features embroidery. Suited to festive and celebratory occasions.,metadata,images/ajio/702733799.jpg,,ajio,https://www.ajio.com/svaraa-women-embroidered-straight-kurta-suit-set/p/702733799_navy,2026-06-13T08:30:06.504367+00:00,,,
ajio_702454568,Women Embellished Anarkali Kurta Suit Set,SVARAA,1599,1.0,,women,ethnic,salwar-suits,Salwar Suits,,festive,women;ethnic;salwar-suits;festive;SVARAA,Grey salwar suit for women from SVARAA. It features embellishments. Suited to festive and celebratory occasions.,metadata,images/ajio/702454568.jpg,,ajio,https://www.ajio.com/svaraa-women-embellished-anarkali-kurta-suit-set/p/702454568_grey,2026-06-13T09:14:59.193120+00:00,,,
ajio_702780607,Button Closure Long Coat,Cantabil,4000,,,women,western,long-coats,Long Coats,,winter,women;western;long-coats;winter;Cantabil,Grey long coat for women from Cantabil. A versatile addition to the wardrobe.,metadata,images/ajio/702780607.jpg,,ajio,https://www.ajio.com/cantabil-button-closure-long-coat/p/702780607_grey,2026-06-13T10:05:56.143190+00:00,,,
myntra_36090580,Shopper Shoulder Bag,MANGO,1595,4.5,52.0,women,accessory,handbags,Handbags,,office,women;accessory;handbags;office;MANGO,"Olive solid shoulder bag, 1 main compartment, has a zip closure, 1 external pocket, 1 inner pocket | Tablet sleeve: no | Two handles",site,images/myntra/36090580.jpg,,myntra,https://www.myntra.com/handbags/mango/mango-shopper-shoulder-bag/36090580/buy,2026-06-13T08:21:01.306486+00:00,,,
myntra_24130018,Sling Bag with Quilted,Exotic,849,4.6,2.0,women,accessory,handbags,Handbags,,office,women;accessory;handbags;office;Exotic,"Black solid shoulder bag, with quilted detail | 2 main compartments, has a zip closure, 2 inner pockets | With a detachable sling strap | Warranty: 6 months | Warranty provided by brand owner/manufacturer",site,images/myntra/24130018.jpg,,myntra,https://www.myntra.com/handbags/exotic/exotic-structured-sling-bag-with-quilted/24130018/buy,2026-06-13T08:25:49.868978+00:00,,,
myntra_15660676,Sparkle Framed Clutch,Lavie,649,4.5,7.0,women,accessory,clutches,Clutches,,party,women;accessory;clutches;party;Lavie,Rose solid box clutches | Has shoulder strap | 1 main compartment with button closure,site,images/myntra/15660676.jpg,,myntra,https://www.myntra.com/clutches/lavie/lavie-womens-sparkle-small-framed-clutch/15660676/buy,2026-06-13T08:37:33.693943+00:00,,,
myntra_39451752,Women PU Clutches,ESBEDA,790,4.8,37.0,women,accessory,clutches,Clutches,,party,women;accessory;clutches;party;ESBEDA,Black and Gold-Toned printed Purse clutches | Has Shoulder Strap | 1 main compartment with Click closure | Warranty: 6 months | Warranty provided by brand owner/manufacturer,site,images/myntra/39451752.jpg,,myntra,https://www.myntra.com/clutches/esbeda/esbeda-purse-clutch/39451752/buy,2026-06-13T08:41:27.227710+00:00,,,
myntra_41578752,Embroidered Potli Clutch,Anouk,974,,,women,accessory,clutches,Clutches,,party,women;accessory;clutches;party;Anouk,Gold-toned Embroidered Potli clutches | Has Wrist Loop | 1 main compartment with Drawstring closure,site,images/myntra/41578752.jpg,,myntra,https://www.myntra.com/clutches/anouk/anouk-embroidered-potli-clutch/41578752/buy,2026-06-13T08:51:31.826107+00:00,,,
myntra_625852,Drop Earrings,Zaveri Pearls,270,4.5,2.0,women,accessory,earrings,Earrings,,festive,women;accessory;earrings;festive;Zaveri Pearls,"A pair of maroon and off-white drop earrings with gold-toned accent, has a stone-studded base with teardrop-shaped stones detail, an intricately designed stone-studded dangler with teardrop-shaped stones studded and beaded detail | Secured with a post-and-back closure | Comes with two extra pairs of rubber stoppers | Warranty: 6 months",site,images/myntra/625852.jpg,,myntra,https://www.myntra.com/earrings/zaveri+pearls/zaveri-pearls-maroon--off-white-drop-earrings/625852/buy,2026-06-13T09:05:33.549995+00:00,,,
myntra_7451803,Gold-Plated Jewellery Set,PANASH,778,4.3,90.0,women,accessory,necklaces,Necklaces,,wedding,women;accessory;necklaces;wedding;PANASH,"Gold-plated Kundan stone-studded Jewellery Set | Gold-plated and white embellished necklace, has a stylised centrepiece, secured with a lobster clasp | Comes with a pair of matching earrings",site,images/myntra/7451803.jpg,,myntra,https://www.myntra.com/jewellery-set/panash/panash-women-gold-plated-red-kundan-jewellery-set/7451803/buy,2026-06-13T09:32:42.986957+00:00,,,
myntra_30441198,Single-Breasted Formal Blazers,Van Heusen Woman,2369,4.8,5.0,women,western,blazers,Blazers,,office,women;western;blazers;office;Van Heusen Woman,"Navy blue checked regular-fit blazer, has a notched lapel collar, single-breasted with button closure, long sleeves, two welt pocket, and single vented back hem",site,images/myntra/30441198.jpg,,myntra,https://www.myntra.com/blazers/van+heusen+woman/van-heusen-woman-checked-notched-lapel-collar-single-breasted-formal-blazers/30441198/buy,2026-06-13T09:21:33.663400+00:00,,,
